original,mapped
item_0,0
item_1,1
item_2,2
item_3,3
item_4,4
item_5,5
item_6,6
item_7,7
item_8,8
item_9,9
item_10,10
item_11,11
item_12,12
item_13,13
item_14,14
item_15,15
item_16,16
item_17,17
item_18,18
item_19,19
item_20,20
item_21,21
item_22,22
item_23,23
item_24,24
item_25,25
item_26,26
item_27,27
item_28,28
item_29,29
item_30,30
item_31,31
item_32,32
item_33,33
item_34,34
item_35,35
item_36,36
item_37,37
item_38,38
item_39,39
item_40,40
item_41,41
item_42,42
item_43,43
item_44,44
item_45,45
item_46,46
item_47,47
item_48,48
item_49,49
item_50,50
item_51,51
item_52,52
item_53,53
item_54,54
item_55,55
item_56,56
item_57,57
item_58,58
item_59,59
item_60,60
item_61,61
item_62,62
item_63,63
item_64,64
item_65,65
item_66,66
item_67,67
item_68,68
item_69,69
item_70,70
item_71,71
item_72,72
item_73,73
item_74,74
item_75,75
item_76,76
item_77,77
item_78,78
item_79,79
item_80,80
item_81,81
item_82,82
item_83,83
item_84,84
item_85,85
item_86,86
item_87,87
item_88,88
item_89,89
item_90,90
item_91,91
item_92,92
item_93,93
item_94,94
item_95,95
item_96,96
item_97,97
item_98,98
item_99,99
